物料	物料号	产品名称	型号规格	型号规格（中）	物料特征	六位代码	供应商代码	供应商名称	基本单位	净重（公斤）	毛重 （公斤）	体积（立方	长度（米）	宽度（米	高度（米）	物流毛重	物流毛重单位	物流体积	物流体积单位	物流长度	物流宽度	物流高度	物流尺寸单位	SN标志	基本单位 /主包装箱	净重（公斤）	毛重 （公斤）	体积（立方	长度（米）	宽度（米	高度（米）	基本单位 /次包装箱	净重（公斤）	毛重 （公斤）	体积（立方	长度（米）	宽度（米	高度（米）	经销商价格	SRP	始销日期	停止日期	下载日期	产品组	业务部门	物料组1
27-5074-94	P27507494	VGN-P37J/R（红）	NOTBOOK	笔记本电脑		SZSLBZ	2000089	鸿富泰精密电子（烟台）有限公司	台	0.48	0.48	0.0006	0.1	0.15	0.02	1.5	KG	6563.75	CCM	17.8	12.5	29.5	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6649		20010101	0	20110829	VAIO	CSM	VAIO
27-5074-95	P27507495	VGN-P37J/W（白）	NOTBOOK	笔记本电脑		SZSLBZ	2000089	鸿富泰精密电子（烟台）有限公司	台	0.48	0.48	0.0006	0.1	0.15	0.02	1.5	KG	6563.75	CCM	17.8	12.5	29.5	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6649		20010101	0	20110829	VAIO	CSM	VAIO
27-5074-96	P27507496	VGN-P35J/Q（黑）	NOTBOOK	笔记本电脑		SZSLBZ	2000089	鸿富泰精密电子（烟台）有限公司	台	0.48	0.48	0.0006	0.1	0.15	0.02	1.5	KG	6562.5	CCM	30	17.5	12.5	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6174		20010101	0	20110829	VAIO	CSM	VAIO
27-5074-97	P27507497	VGN-P35J/R（红）	NOTBOOK	笔记本电脑		SZSLBZ	2000089	鸿富泰精密电子（烟台）有限公司	台	0.48	0.48	0.0006	0.1	0.15	0.02	1.5	KG	6562.5	CCM	30	17.5	12.5	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6174		20010101	0	20110829	VAIO	CSM	VAIO
27-5076-90	P27507690	VGN-Z59G/X（尊贵黑）	NOTBOOK	笔记本电脑		SZSLBZ	500100	Sony Corporation-USD	台	0.48	0.48	0.0006	0.1	0.15	0.02	3.1	KG	16116.75	CCM	39	14.5	28.5	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	25109		20010101	0	20110829	VAIO	CSM	VAIO
27-5076-91	P27507691	VGN-Z57G/B（黑）	NOTBOOK	笔记本电脑		SZSLBZ	500100	Sony Corporation-USD	台	0.48	0.48	0.0006	0.1	0.15	0.02	3.3	KG	16199.4	CCM	39.2	14.5	28.5	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15809		20010101	0	20110829	VAIO	CSM	VAIO
27-5076-92	P27507692	VGN-Z55F/B（黑）	NOTBOOK	笔记本电脑		SZSLBZ	500100	Sony Corporation-USD	台	0.48	0.48	0.0006	0.1	0.15	0.02	3.3	KG	16323.375	CCM	14.5	28.5	39.5	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13949		20010101	0	20110829	VAIO	CSM	VAIO
27-5076-93	P27507693	VGN-Z55F/R（红）	NOTBOOK	笔记本电脑		SZSLBZ	500100	Sony Corporation-USD	台	0.48	0.48	0.0006	0.1	0.15	0.02	3.3	KG	16323.375	CCM	14.5	28.5	39.5	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13949		20010101	0	20110829	VAIO	CSM	VAIO
27-5078-90	P27507890	VPCW127JC/P（粉）	NOTBOOK	笔记本电脑		SZSLBZ	2000069	达功（上海）电脑有限公司	台	0.48	0.48	0.0006	0.1	0.15	0.02	2.06	KG	10543.5	CCM	11	35.5	27	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3839		20010101	0	20110829	VAIO	CSM	VAIO
27-5078-91	P27507891	VPCW127JC/T（棕）	NOTBOOK	笔记本电脑		SZSLBZ	2000069	达功（上海）电脑有限公司	台	0.48	0.48	0.0006	0.1	0.15	0.02	2.06	KG	10543.5	CCM	11	35.5	27	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3839		20010101	0	20110829	VAIO	CSM	VAIO
27-5078-92	P27507892	VPCW127JC/W（白）	NOTBOOK	笔记本电脑		SZSLBZ	2000069	达功（上海）电脑有限公司	台	0.48	0.48	0.0006	0.1	0.15	0.02	2.06	KG	10543.5	CCM	11	35.5	27	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3839		20010101	0	20110829	VAIO	CSM	VAIO
27-5078-93	P27507893	VPCW127JC/WZ(莹白)	NOTBOOK	笔记本电脑		SZSLBZ	2000069	达功（上海）电脑有限公司	台	0.48	0.48	0.0006	0.1	0.15	0.02	2.06	KG	10543.5	CCM	11	35.5	27	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3839		20010101	0	20110829	VAIO	CSM	VAIO
27-5148-90	P27514890	VPCF119FC/BI(黑)	NOTEBOOK	笔记本电脑		SZSLBZ	2000089	鸿富泰精密电子（烟台）有限公司	台	1.25	1.25	0.006	0.2	0.1	0.3	5.22	KG	21090	CCM	50	11.4	37	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15809		20010101	0	20110829	VAIO	CSM	VAIO
27-5150-90	P27515090	VPCY118EC/B(黑)	NOTEBOOK	笔记本电脑		SZSLBZ	2000105	纬新资通(昆山)有限公司	台	1.25	1.25	0.006	0.3	0.22	0.02	3.22	KG	15925	CCM	49	32.5	10	CM	X	66	0	0	0	0	0	0	0	0	0	0	0	0	0	5729		0	0	20110829	VAIO	CSM	VAIO
27-5152-90	P27515290	VPCZ119GC/X(尊贵黑)	NOTEBOOK	笔记本电脑		SZSLBZ	500100	Sony Corporation-USD	台	1.25	1.25	0.006	0.2	0.1	0.3	2.8	KG	12144	CCM	10	36.8	33	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	27899		20010101	0	20110829	VAIO	CSM	VAIO
27-5152-91	P27515291	VPCZ118GC/B(黑)	NOTEBOOK	笔记本电脑		SZSLBZ	500100	Sony Corporation-USD	台	1.25	1.25	0.006	0.2	0.1	0.3	2.8	KG	12144	CCM	10	36.8	33	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	14879		20010101	0	20110829	VAIO	CSM	VAIO
27-5152-92	P27515292	VPCZ117FC/B(黑)	NOTEBOOK	笔记本电脑		SZSLBZ	500100	Sony Corporation-USD	台	1.25	1.25	0.006	0.2	0.1	0.3	2.8	KG	12144	CCM	10	36.8	33	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13019		20010101	0	20110829	VAIO	CSM	VAIO
27-5152-93	P27515293	VPCZ115FC/S(银)	NOTEBOOK	笔记本电脑		SZSLBZ	500100	Sony Corporation-USD	台	1.25	1.25	0.006	0.2	0.1	0.3	2.8	KG	12144	CCM	10	36.8	33	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12089		20010101	0	20110829	VAIO	CSM	VAIO
27-5152-94	P27515294	VPCZ115FC/B(黑)	NOTEBOOK	笔记本电脑		SZSLBZ	500100	Sony Corporation-USD	台	1.25	1.25	0.006	0.2	0.1	0.3	2.8	KG	12144	CCM	10	36.8	33	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12089		20010101	0	20110829	VAIO	CSM	VAIO
